# Tests d'attentes sur macbookpro DATE: 2017-01-19 HEURE: 10:13:49
  16 573  #_CHRONO_#  573 ms.  pour 16  threads
  #_CHRONO_#   Date du test : 19/01/17 10:14 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999990 actions avec 18 threads.
  #_CHRONO_#   soit 555555 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  18 587  #_CHRONO_#  587 ms.  pour 18  threads
  #_CHRONO_#   Date du test : 19/01/17 10:14 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 10000000 actions avec 20 threads.
  #_CHRONO_#   soit 500000 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  20 580  #_CHRONO_#  580 ms.  pour 20  threads
  #_CHRONO_#   Date du test : 19/01/17 10:14 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999990 actions avec 22 threads.
  #_CHRONO_#   soit 454545 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  22 425  #_CHRONO_#  425 ms.  pour 22  threads
  #_CHRONO_#   Date du test : 19/01/17 10:14 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999984 actions avec 24 threads.
  #_CHRONO_#   soit 416666 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  24 592  #_CHRONO_#  592 ms.  pour 24  threads
  #_CHRONO_#   Date du test : 19/01/17 10:14 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999990 actions avec 26 threads.
  #_CHRONO_#   soit 384615 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  26 440  #_CHRONO_#  440 ms.  pour 26  threads
  #_CHRONO_#   Date du test : 19/01/17 10:14 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999976 actions avec 28 threads.
  #_CHRONO_#   soit 357142 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  28 573  #_CHRONO_#  573 ms.  pour 28  threads
  #_CHRONO_#   Date du test : 19/01/17 10:14 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999990 actions avec 30 threads.
  #_CHRONO_#   soit 333333 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  30 589  #_CHRONO_#  589 ms.  pour 30  threads
  #_CHRONO_#   Date du test : 19/01/17 10:14 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 10000000 actions avec 32 threads.
  #_CHRONO_#   soit 312500 actions par thread.
  #_CHRONO_#   Mode d'action adopté: L
  32 440  #_CHRONO_#  440 ms.  pour 32  threads
