# Tests d'attentes sur macbookpro DATE: 2017-01-19 HEURE: 10:13:49
  16 499  #_CHRONO_#  499 ms.  pour 16  threads
  #_CHRONO_#   Date du test : 19/01/17 10:13 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999990 actions avec 18 threads.
  #_CHRONO_#   soit 555555 actions par thread.
  #_CHRONO_#   Mode d'action adopté: S
  18 486  #_CHRONO_#  486 ms.  pour 18  threads
  #_CHRONO_#   Date du test : 19/01/17 10:13 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 10000000 actions avec 20 threads.
  #_CHRONO_#   soit 500000 actions par thread.
  #_CHRONO_#   Mode d'action adopté: S
  20 485  #_CHRONO_#  485 ms.  pour 20  threads
  #_CHRONO_#   Date du test : 19/01/17 10:14 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999990 actions avec 22 threads.
  #_CHRONO_#   soit 454545 actions par thread.
  #_CHRONO_#   Mode d'action adopté: S
  22 496  #_CHRONO_#  496 ms.  pour 22  threads
  #_CHRONO_#   Date du test : 19/01/17 10:14 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999984 actions avec 24 threads.
  #_CHRONO_#   soit 416666 actions par thread.
  #_CHRONO_#   Mode d'action adopté: S
  24 486  #_CHRONO_#  486 ms.  pour 24  threads
  #_CHRONO_#   Date du test : 19/01/17 10:14 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999990 actions avec 26 threads.
  #_CHRONO_#   soit 384615 actions par thread.
  #_CHRONO_#   Mode d'action adopté: S
  26 490  #_CHRONO_#  490 ms.  pour 26  threads
  #_CHRONO_#   Date du test : 19/01/17 10:14 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999976 actions avec 28 threads.
  #_CHRONO_#   soit 357142 actions par thread.
  #_CHRONO_#   Mode d'action adopté: S
  28 503  #_CHRONO_#  503 ms.  pour 28  threads
  #_CHRONO_#   Date du test : 19/01/17 10:14 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999990 actions avec 30 threads.
  #_CHRONO_#   soit 333333 actions par thread.
  #_CHRONO_#   Mode d'action adopté: S
  30 495  #_CHRONO_#  495 ms.  pour 30  threads
  #_CHRONO_#   Date du test : 19/01/17 10:14 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 10000000 actions avec 32 threads.
  #_CHRONO_#   soit 312500 actions par thread.
  #_CHRONO_#   Mode d'action adopté: S
  32 494  #_CHRONO_#  494 ms.  pour 32  threads
